Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
312,"R Betts, RF Betts","Decolonization",2004,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9780203598481/decolonization-raymond-betts-raymond-betts","https://scholar.google.com/scholar?cites=10760808675010252250&as_sdt=2005&sciodt=2007&hl=en",1,"2023-10-31 16:51:33","BOOK","10.4324/9780203598481","","",,,,,312,16.42,156,2,19,"Raymond F. Betts considers the 'process' of decolonization and the outcomes which have left a legacy of problems, drawing on numerous examples including Ghana, India, Rwanda …","","https://scholar.google.com/scholar?q=related:2o3tCXoSVpUJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
290,"A Memmi","Decolonization and the Decolonized",2006,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=6HxjavtQmq4C&oi=fnd&pg=PR7&dq=decolonization&ots=jvXRbXLVAv&sig=I-2-lA7LyaYkVBWw1JcWIeALEwk","https://scholar.google.com/scholar?cites=8697472329820224987&as_sdt=2005&sciodt=2007&hl=en",2,"2023-10-31 16:51:33","BOOK","","","",,,,,290,17.06,290,1,17,"In this time of global instability and widespread violence, Albert Memmi—author of the highly influential and groundbreaking work The Colonizer and the Colonized—turns his attention …","","https://scholar.google.com/scholar?q=related:2z25tgChs3gJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
396,"P Laenui","Processes of decolonization",2000,"Reclaiming Indigenous voice and vision","sjsu.edu","https://sjsu.edu/people/marcos.pizarro/maestros/Laenui.pdf","https://scholar.google.com/scholar?cites=12350211916007467813&as_sdt=2005&sciodt=2007&hl=en",3,"2023-10-31 16:51:33","PDF","","","",,,,,396,17.22,396,1,23,"Colonization and decolonization are social processes even more than they are political processes. Governance over a people changes only after the people themselves have …","https://sjsu.edu/people/marcos.pizarro/maestros/Laenui.pdf","https://scholar.google.com/scholar?q=related:Jetrqk3EZKsJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
267,"P Duara","Decolonization: Perspectives from now and then",2004,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=04-BAgAAQBAJ&oi=fnd&pg=PP1&dq=decolonization&ots=Nc5yDuoToW&sig=HtAoivMNWv7ZjmJKvwVA5mMT16o","https://scholar.google.com/scholar?cites=13417279435217780873&as_sdt=2005&sciodt=2007&hl=en",4,"2023-10-31 16:51:33","BOOK","","","",,,,,267,14.05,267,1,19,"… Few subjects are as appropriate as decolonization for this … Whether colonization and decolonization have completed their … of significant past participants in decolonization who sought …","","https://scholar.google.com/scholar?q=related:iUBP_I7AM7oJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
209,"AG Hopkins","Rethinking decolonization",2008,"Past and Present","academic.oup.com","https://academic.oup.com/past/article-abstract/200/1/211/1495779","https://scholar.google.com/scholar?cites=14433077290813200527&as_sdt=2005&sciodt=2007&hl=en",5,"2023-10-31 16:51:33","","","","",,,,,209,13.93,209,1,15,"The moment of decolonization is recorded by dates and signalled by ceremony: the guard, political as well as military, is changed; anthems are composed; flags are redesigned. When …","","https://scholar.google.com/scholar?q=related:j5ithlOXTMgJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
113,"NN Wane","Is decolonization possible?",2006,"Anti-colonialism and education","brill.com","https://brill.com/downloadpdf/book/edcoll/9789087901110/BP000006.pdf","https://scholar.google.com/scholar?cites=2880662878260883911&as_sdt=2005&sciodt=2007&hl=en",6,"2023-10-31 16:51:33","","","","",,,,,113,6.65,113,1,17,"Any form of colonialism is bound to leave a mark of some kind. European colonialism in Africa left lasting marks on the landscape, as well as the political, social and economic …","","https://scholar.google.com/scholar?q=related:x_FkGKAr-icJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
434,"WR Louis, R Robinson","The imperialism of decolonization",1994,"The Journal of Imperial and …","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1080/03086539408582936","https://scholar.google.com/scholar?cites=10295045935011713512&as_sdt=2005&sciodt=2007&hl=en",7,"2023-10-31 16:51:33","","10.1080/03086539408582936","","",,,,,434,14.97,217,2,29,"It ought to be a commonplace that the post-war British Empire was more than British and less than an imperium. As it survived, so it was transformed as part of the Anglo-American …","","https://scholar.google.com/scholar?q=related:6NGzfrtZ344J:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
140,"KH Chen","The decolonization question",2005,"Trajectories","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780203976586-1/decolonization-question-kuan-hsing-chen","https://scholar.google.com/scholar?cites=16510801287127169566&as_sdt=2005&sciodt=2007&hl=en",8,"2023-10-31 16:51:33","","10.4324/9780203976586-1","","",,,,,140,7.78,140,1,18,"… history of a global decolonization movement (within which cultural studies has featured), the contemporary moment of the (ex-)colonies is still one of a process of decolonization, and in …","","https://scholar.google.com/scholar?q=related:HvpG7EomIuUJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
103,"F Cooper","The Dialectics of Decolonization",2004,"Decolonization: Perspectives from Now and Then","books.google.com","https://books.google.com/books?hl=en&lr=&id=FYkSnVSmDywC&oi=fnd&pg=PA218&dq=decolonization&ots=BGOyXyUnzb&sig=r7HXVqHJJVPOXSHQomTd2J72Irk","https://scholar.google.com/scholar?cites=15171356986760928948&as_sdt=2005&sciodt=2007&hl=en",9,"2023-10-31 16:51:33","","","","",,,,,103,5.42,103,1,19,"Patterns of decolonization are particularly difficult to unravel because we know the endpoint: the emergence of the independent state from colonial rule. It is tempting to read the history …","","https://scholar.google.com/scholar?q=related:tJ6GVMx8i9IJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
295,"D Birmingham","The decolonization of Africa",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=xnSOAgAAQBAJ&oi=fnd&pg=PP1&dq=decolonization&ots=obFYmoYeFA&sig=hs7wyZ9RqXiDg_hPRNlADvi7gTA","https://scholar.google.com/scholar?cites=17830379019113980918&as_sdt=2005&sciodt=2007&hl=en",10,"2023-10-31 16:51:33","BOOK","","","",,,,,295,19.67,295,1,15,"… in the aftermath of decolonization. Students in Katanga, in 1972, … ’s very personal interpretation of decolonization with its own … and complex process that made decolonization in Africa a …","","https://scholar.google.com/scholar?q=related:9uPdnD87cvcJ:scholar.google.com/&scioq=decolonization&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2009"
